STATE,FIRE_YEAR,FIRE_COUNT
Hawaii,2002,576
Hawaii,2003,941
Hawaii,2004,687
Hawaii,2005,1242
Hawaii,2006,789
Hawaii,2007,964
Hawaii,2008,769
Hawaii,2009,816
Hawaii,2010,984
Hawaii,2011,603
Hawaii,2012,714
Hawaii,2013,60
Hawaii,2014,2
Hawaii,2015,4
Iowa,1992,5
Iowa,1993,6
Iowa,1994,5
Iowa,1995,6
Iowa,1996,28
Iowa,1997,10
Iowa,1998,3
Iowa,1999,20
Iowa,2000,19
Iowa,2001,10
Iowa,2002,51
Iowa,2003,50
Iowa,2004,50
Iowa,2005,34
Iowa,2006,442
Iowa,2007,143
Iowa,2008,151
Iowa,2009,702
Iowa,2010,199
Iowa,2011,439
Iowa,2012,458
Iowa,2013,243
Iowa,2014,543
Iowa,2015,517
Idaho,1992,2195
Idaho,1993,698
Idaho,1994,3336
Idaho,1995,1433
Idaho,1996,1974
Idaho,1997,1130
Idaho,1998,1758
Idaho,1999,1916
Idaho,2000,1749
Idaho,2001,1683
Idaho,2002,1511
Idaho,2003,1657
Idaho,2004,1138
Idaho,2005,1144
Idaho,2006,1888
Idaho,2007,1589
Idaho,2008,986
Idaho,2009,1198
Idaho,2010,1150
Idaho,2011,1318
Idaho,2012,1189
Idaho,2013,1566
Idaho,2014,1215
Idaho,2015,1277
Illinois,1992,18
Illinois,1993,5
Illinois,1994,27
Illinois,1995,47
Illinois,1996,21
Illinois,1997,10
Illinois,1998,22
Illinois,1999,53
Illinois,2000,29
Illinois,2001,45
Illinois,2002,43
Illinois,2003,48
Illinois,2004,88
Illinois,2005,62
Illinois,2006,34
Illinois,2007,99
Illinois,2008,197
Illinois,2009,347
Illinois,2010,452
Illinois,2011,136
Illinois,2012,167
Illinois,2013,44
Illinois,2014,227
Illinois,2015,106
Indiana,1992,95
Indiana,1993,56
Indiana,1994,85
Indiana,1995,101
Indiana,1996,88
Indiana,1997,36
Indiana,1998,57
Indiana,1999,151
Indiana,2000,92
Indiana,2001,140
Indiana,2002,123
Indiana,2003,155
Indiana,2004,193
Indiana,2005,173
Indiana,2006,86
Indiana,2007,127
Indiana,2008,67
Indiana,2009,45
Indiana,2010,73
Indiana,2011,26
Indiana,2012,57
Indiana,2013,20
Indiana,2014,36
Indiana,2015,16
Kansas,1992,16
Kansas,1993,14
Kansas,1994,47
Kansas,1995,30
Kansas,1996,30
Kansas,1997,22
Kansas,1998,31
Kansas,1999,36
Kansas,2000,48
Kansas,2001,69
Kansas,2002,128
Kansas,2003,113
Kansas,2004,76
Kansas,2005,175
Kansas,2006,348
Kansas,2007,196
Kansas,2008,94
Kansas,2009,71
Kansas,2010,40
Kansas,2011,56
Kansas,2012,73
Kansas,2013,14
Kansas,2014,59
Kansas,2015,5887
Kentucky,1992,49
Kentucky,1993,81
Kentucky,1994,178
Kentucky,1995,180
Kentucky,1996,72
Kentucky,1997,675
Kentucky,1998,957
Kentucky,1999,1879
Kentucky,2000,1587
Kentucky,2001,2061
Kentucky,2002,1050
Kentucky,2003,956
Kentucky,2004,1238
Kentucky,2005,1766
Kentucky,2006,1884
Kentucky,2007,2081
Kentucky,2008,1563
Kentucky,2009,1419
Kentucky,2010,1913
Kentucky,2011,1032
Kentucky,2012,1263
Kentucky,2013,1003
Kentucky,2014,1446
Kentucky,2015,756
Louisiana,1992,87
Louisiana,1993,127
Louisiana,1994,111
Louisiana,1995,139
Louisiana,1996,157
Louisiana,1997,1361
Louisiana,1998,2283
Louisiana,1999,2788
Louisiana,2000,4234
Louisiana,2001,976
Louisiana,2002,1481
Louisiana,2003,94
Louisiana,2004,78
Louisiana,2005,3384
Louisiana,2006,3131
Louisiana,2007,63
Louisiana,2008,1438
Louisiana,2009,1542
Louisiana,2010,2419
Louisiana,2011,217
Louisiana,2012,877
Louisiana,2013,1075
Louisiana,2014,876
Louisiana,2015,1075
Massachusetts,1992,7
Massachusetts,1993,4
Massachusetts,1994,1
Massachusetts,1995,15
Massachusetts,1996,4
Massachusetts,1997,11
Massachusetts,1998,1
Massachusetts,1999,7
Massachusetts,2000,3
Massachusetts,2001,17
Massachusetts,2002,115
Massachusetts,2003,75
Massachusetts,2004,69
Massachusetts,2005,30
Massachusetts,2006,31
Massachusetts,2007,34
Massachusetts,2008,12
Massachusetts,2009,1
Massachusetts,2010,3
Massachusetts,2012,5
Massachusetts,2013,5
Massachusetts,2014,6
Massachusetts,2015,2170
Maryland,1992,12
Maryland,1993,11
Maryland,1994,16
Maryland,1995,32
Maryland,1996,17
Maryland,1997,19
Maryland,1998,17
Maryland,1999,34
Maryland,2000,14
Maryland,2001,22
Maryland,2002,14
Maryland,2003,5
Maryland,2004,21
Maryland,2005,417
Maryland,2006,718
Maryland,2007,598
Maryland,2008,530
Maryland,2009,261
Maryland,2010,168
Maryland,2011,133
Maryland,2012,163
Maryland,2013,127
Maryland,2014,123
Maryland,2015,150
Maine,1992,611
Maine,1993,672
Maine,1994,541
Maine,1995,963
Maine,1996,315
Maine,1997,585
Maine,1998,580
Maine,1999,681
Maine,2000,346
Maine,2001,963
Maine,2002,664
Maine,2003,624
Maine,2004,467
Maine,2005,472
Maine,2006,623
Maine,2007,481
Maine,2008,466
Maine,2009,483
Maine,2010,505
Maine,2011,365
Maine,2012,560
Maine,2013,444
Maine,2014,333
Maine,2015,406
Michigan,1992,614
Michigan,1993,262
Michigan,1994,644
Michigan,1995,627
Michigan,1996,386
Michigan,1997,118
Michigan,1998,170
Michigan,1999,150
Michigan,2000,115
Michigan,2001,424
Michigan,2002,308
Michigan,2003,750
Michigan,2004,467
Michigan,2005,641
Michigan,2006,534
Michigan,2007,516
Michigan,2008,444
Michigan,2009,486
Michigan,2010,584
Michigan,2011,309
Michigan,2012,711
Michigan,2013,455
Michigan,2014,264
Michigan,2015,523
Minnesota,1992,1620
Minnesota,1993,1363
Minnesota,1994,1904
Minnesota,1995,1731
Minnesota,1996,1752
Minnesota,1997,2528
Minnesota,1998,2474
Minnesota,1999,2113
Minnesota,2000,2631
Minnesota,2001,1327
Minnesota,2002,2039
Minnesota,2003,3297
Minnesota,2004,1989
Minnesota,2005,1728
Minnesota,2006,2507
Minnesota,2007,1787
Minnesota,2008,1165
Minnesota,2009,1233
Minnesota,2010,2075
Minnesota,2011,1235
Minnesota,2012,2295
