STATE,FIRE_YEAR,FIRE_COUNT
ID,2014,1215
ID,2015,1277
IL,1992,18
IL,1993,5
IL,1994,27
IL,1995,47
IL,1996,21
IL,1997,10
IL,1998,22
IL,1999,53
IL,2000,29
IL,2001,45
IL,2002,43
IL,2003,48
IL,2004,88
IL,2005,62
IL,2006,34
IL,2007,99
IL,2008,197
IL,2009,347
IL,2010,452
IL,2011,136
IL,2012,167
IL,2013,44
IL,2014,227
IL,2015,106
IN,1992,95
IN,1993,56
IN,1994,85
IN,1995,101
IN,1996,88
IN,1997,36
IN,1998,57
IN,1999,151
IN,2000,92
IN,2001,140
IN,2002,123
IN,2003,155
IN,2004,193
IN,2005,173
IN,2006,86
IN,2007,127
IN,2008,67
IN,2009,45
IN,2010,73
IN,2011,26
IN,2012,57
IN,2013,20
IN,2014,36
IN,2015,16
KS,1992,16
KS,1993,14
KS,1994,47
KS,1995,30
KS,1996,30
KS,1997,22
KS,1998,31
KS,1999,36
KS,2000,48
KS,2001,69
KS,2002,128
KS,2003,113
KS,2004,76
KS,2005,175
KS,2006,348
KS,2007,196
KS,2008,94
KS,2009,71
KS,2010,40
KS,2011,56
KS,2012,73
KS,2013,14
KS,2014,59
KS,2015,5887
KY,1992,49
KY,1993,81
KY,1994,178
KY,1995,180
KY,1996,72
KY,1997,675
KY,1998,957
KY,1999,1879
KY,2000,1587
KY,2001,2061
KY,2002,1050
KY,2003,956
KY,2004,1238
KY,2005,1766
KY,2006,1884
KY,2007,2081
KY,2008,1563
KY,2009,1419
KY,2010,1913
KY,2011,1032
KY,2012,1263
KY,2013,1003
KY,2014,1446
KY,2015,756
LA,1992,87
LA,1993,127
LA,1994,111
LA,1995,139
LA,1996,157
LA,1997,1361
LA,1998,2283
LA,1999,2788
LA,2000,4234
LA,2001,976
LA,2002,1481
LA,2003,94
LA,2004,78
LA,2005,3384
LA,2006,3131
LA,2007,63
LA,2008,1438
LA,2009,1542
LA,2010,2419
LA,2011,217
LA,2012,877
LA,2013,1075
LA,2014,876
LA,2015,1075
MA,1992,7
MA,1993,4
MA,1994,1
MA,1995,15
MA,1996,4
MA,1997,11
MA,1998,1
MA,1999,7
MA,2000,3
MA,2001,17
MA,2002,115
MA,2003,75
MA,2004,69
MA,2005,30
MA,2006,31
MA,2007,34
MA,2008,12
MA,2009,1
MA,2010,3
MA,2012,5
MA,2013,5
MA,2014,6
MA,2015,2170
MD,1992,12
MD,1993,11
MD,1994,16
MD,1995,32
MD,1996,17
MD,1997,19
MD,1998,17
MD,1999,34
MD,2000,14
MD,2001,22
MD,2002,14
MD,2003,5
MD,2004,21
MD,2005,417
MD,2006,718
MD,2007,598
MD,2008,530
MD,2009,261
MD,2010,168
MD,2011,133
MD,2012,163
MD,2013,127
MD,2014,123
MD,2015,150
ME,1992,611
ME,1993,672
ME,1994,541
ME,1995,963
ME,1996,315
ME,1997,585
ME,1998,580
ME,1999,681
ME,2000,346
ME,2001,963
ME,2002,664
ME,2003,624
ME,2004,467
ME,2005,472
ME,2006,623
ME,2007,481
ME,2008,466
ME,2009,483
ME,2010,505
ME,2011,365
ME,2012,560
ME,2013,444
ME,2014,333
ME,2015,406
MI,1992,614
MI,1993,262
MI,1994,644
MI,1995,627
MI,1996,386
MI,1997,118
MI,1998,170
MI,1999,150
MI,2000,115
MI,2001,424
MI,2002,308
MI,2003,750
MI,2004,467
MI,2005,641
MI,2006,534
MI,2007,516
MI,2008,444
MI,2009,486
MI,2010,584
MI,2011,309
MI,2012,711
MI,2013,455
MI,2014,264
MI,2015,523
MN,1992,1620
MN,1993,1363
MN,1994,1904
MN,1995,1731
MN,1996,1752
MN,1997,2528
MN,1998,2474
MN,1999,2113
MN,2000,2631
MN,2001,1327
MN,2002,2039
MN,2003,3297
MN,2004,1989
MN,2005,1728
MN,2006,2507
MN,2007,1787
MN,2008,1165
MN,2009,1233
MN,2010,2075
MN,2011,1235
MN,2012,2295
MN,2013,1132
MN,2014,1006
MN,2015,1838
MO,1992,1680
MO,1993,907
MO,1994,1607
MO,1995,2060
MO,1996,443
MO,1997,1314
MO,1998,521
MO,1999,1204
MO,2000,673
MO,2001,884
MO,2002,670
MO,2003,340
MO,2004,307
MO,2005,413
MO,2006,442
MO,2007,523
MO,2008,136
MO,2009,239
MO,2010,196
MO,2011,740
MO,2012,221
MO,2013,413
MO,2014,1251
MO,2015,769
MS,1992,4478
MS,1993,4015
MS,1994,3356
MS,1995,4992
MS,1996,4923
MS,1997,2783
MS,1998,3424
MS,1999,5436
MS,2000,7984
MS,2001,2888
MS,2002,2832
MS,2003,1913
MS,2004,2812
MS,2005,3520
MS,2006,5533
MS,2007,2767
MS,2008,2016
MS,2009,1966
MS,2010,2926
MS,2011,1614
MS,2012,1218
MS,2013,1488
MS,2014,2224
MS,2015,2122
MT,1992,1642
MT,1993,743
MT,1994,2984
MT,1995,1052
MT,1996,1993
MT,1997,993
MT,1998,1909
MT,1999,2089
MT,2000,2428
MT,2001,1603
MT,2002,1597
MT,2003,2471
MT,2004,1503
MT,2005,1497
MT,2006,2460
MT,2007,1997
MT,2008,1532
MT,2009,1662
MT,2010,1140
MT,2011,1190
MT,2012,1854
MT,2013,1359
MT,2014,1203
MT,2015,1866
NC,1992,5696
NC,1993,4808
NC,1994,5739
NC,1995,5253
NC,1996,4238
NC,1997,4512
NC,1998,4324
NC,1999,4041
NC,2000,4987
NC,2001,8143
NC,2002,5590
