ID,STATE,FIRE_YEAR,FIRE_COUNT,FIRE_AREA,NUM_BURNED_ACRES_PER_10K_ACRE
117,California,2013,3108,580544.8000000009,62.11
118,California,2014,1913,546220.9999999995,58.44
119,California,2015,2027,848036.7999999985,90.73
120,Colorado,1992,246,7305.300000000002,1.17
121,Colorado,1993,268,35400.0,5.69
122,Colorado,1994,683,70468.4,11.33
123,Colorado,1995,398,19869.600000000002,3.2
124,Colorado,1996,299,69878.4,11.24
125,Colorado,1997,105,5952.5,0.96
126,Colorado,1998,181,8291.5,1.33
127,Colorado,1999,178,20226.2,3.25
128,Colorado,2000,356,115592.30000000002,18.59
129,Colorado,2001,220,22846.699999999997,3.67
130,Colorado,2002,273,476292.30000000005,76.59
131,Colorado,2003,453,45320.399999999994,7.29
132,Colorado,2004,204,33641.899999999994,5.41
133,Colorado,2005,462,39208.30000000001,6.31
134,Colorado,2006,263,45751.19999999998,7.36
135,Colorado,2007,180,13907.899999999996,2.24
136,Colorado,2008,253,111913.80000000002,18.0
137,Colorado,2009,171,37617.5,6.05
138,Colorado,2010,539,51656.6,8.31
139,Colorado,2011,175,127114.59999999999,20.44
140,Colorado,2012,253,271147.7999999999,43.6
141,Colorado,2013,431,161741.70000000004,26.01
142,Colorado,2014,77,24632.2,3.96
143,Colorado,2015,95,22741.699999999997,3.66
144,Connecticut,1992,50,438.0,1.51
145,Connecticut,1993,65,393.2,1.35
146,Connecticut,1994,94,908.6,3.13
147,Connecticut,1995,74,420.90000000000003,1.45
148,Connecticut,1996,15,64.5,0.22
149,Connecticut,1997,38,591.8,2.04
150,Connecticut,1998,27,131.2,0.45
151,Connecticut,1999,156,1643.1,5.66
152,Connecticut,2000,48,473.2,1.63
153,Connecticut,2001,94,720.7,2.48
154,Connecticut,2002,43,172.0,0.59
155,Connecticut,2003,25,116.8,0.4
156,Connecticut,2004,19,62.0,0.21
157,Connecticut,2005,74,218.90000000000003,0.75
158,Connecticut,2006,89,354.0,1.22
159,Connecticut,2007,72,224.80000000000004,0.77
160,Connecticut,2008,103,2003.8999999999996,6.9
161,Connecticut,2009,72,204.60000000000005,0.7
162,Connecticut,2010,129,405.00000000000006,1.39
163,Connecticut,2011,47,184.6,0.64
164,Connecticut,2012,84,437.6,1.51
165,Connecticut,2015,119,366.70000000000005,1.26
166,Delaware,1992,3,124.0,1.06
167,Delaware,1993,1,1.0,0.01
168,Delaware,1994,2,96.0,0.82
169,Delaware,1995,2,2014.0,17.22
170,Delaware,1997,4,24.5,0.21
171,Delaware,1999,2,507.0,4.34
172,Delaware,2000,1,65.0,0.56
173,Delaware,2001,1,10.5,0.09
174,Delaware,2002,9,1265.0,10.82
175,Delaware,2003,6,263.0,2.25
176,Delaware,2004,11,135.0,1.15
177,Delaware,2005,4,166.0,1.42
178,Delaware,2010,1,3.0,0.03
179,Delaware,2012,11,37.0,0.32
180,Delaware,2013,5,18.8,0.16
181,Delaware,2014,3,5.0,0.04
182,Delaware,2015,12,78.0,0.67
183,District of Columbia,1993,4,8.9,2.43
184,District of Columbia,1994,1,4.7,1.28
185,District of Columbia,1998,2,2.2,0.6
186,District of Columbia,1999,1,1.0,0.27
187,District of Columbia,2002,1,1.0,0.27
188,District of Columbia,2012,4,4.1,1.12
189,District of Columbia,2015,1,2.0,0.55
190,Florida,1992,3123,95018.10000000002,29.53
191,Florida,1993,3145,79423.19999999995,24.68
192,Florida,1994,2431,102827.70000000003,31.96
193,Florida,1995,2210,56452.39999999998,17.55
194,Florida,1996,3251,107168.40000000001,33.31
195,Florida,1997,2657,132879.09999999998,41.3
196,Florida,1998,3065,377346.1999999997,117.28
197,Florida,1999,3543,412906.6999999996,128.33
198,Florida,2000,4143,242113.5000000003,75.25
199,Florida,2001,3136,411324.99999999994,127.84
200,Florida,2002,1946,61681.89999999999,19.17
201,Florida,2003,1331,46640.100000000006,14.5
202,Florida,2004,2297,204037.80000000016,63.42
203,Florida,2005,1556,39505.499999999985,12.28
204,Florida,2006,3234,253140.00000000006,78.68
205,Florida,2007,2939,546552.2999999996,169.87
206,Florida,2008,1939,184222.8999999999,57.26
207,Florida,2009,1998,144298.70000000007,44.85
208,Florida,2010,1443,62670.40000000004,19.48
209,Florida,2011,3207,330756.99999999924,102.8
210,Florida,2012,1946,138712.4000000001,43.11
211,Florida,2013,1377,76917.10000000006,23.91
212,Florida,2014,1322,156192.2999999999,48.54
213,Florida,2015,2463,166982.69999999998,51.9
214,Georgia,1992,4079,26506.499999999804,7.68
215,Georgia,1993,5306,39725.79999999971,11.51
216,Georgia,1994,3871,24457.799999999872,7.09
217,Georgia,1995,4310,23726.6999999998,6.88
218,Georgia,1996,5677,37143.09999999952,10.76
219,Georgia,1997,3819,21234.89999999978,6.15
220,Georgia,1998,3704,45165.29999999988,13.09
221,Georgia,1999,6380,72073.50000000007,20.89
222,Georgia,2000,6045,62649.89999999938,18.16
223,Georgia,2001,5435,52482.099999999824,15.21
224,Georgia,2002,4673,166268.60000000056,48.18
225,Georgia,2003,2239,11072.400000000012,3.21
226,Georgia,2004,4617,34519.4999999999,10.0
227,Georgia,2005,3305,18912.60000000002,5.48
228,Georgia,2006,5021,37116.69999999985,10.76
229,Georgia,2007,4793,326660.1999999972,94.66
230,Georgia,2008,3212,25366.099999999995,7.35
231,Georgia,2009,2319,17416.300000000007,5.05
232,Georgia,2010,3077,22841.7,6.62
233,Georgia,2011,5237,437254.3999999938,126.71
234,Georgia,2012,2863,24959.599999999857,7.23
235,Georgia,2013,1977,14403.600000000028,4.17
236,Georgia,2014,2544,21883.699999999997,6.34
237,Georgia,2015,1413,11203.70000000003,3.25
238,Hawaii,1992,44,11157.6,28.95
239,Hawaii,1993,6,2561.2,6.65
240,Hawaii,1994,3,78.0,0.2
241,Hawaii,1995,5,1027.0,2.66
242,Hawaii,1996,5,380.0,0.99
243,Hawaii,1997,2,51.0,0.13
244,Hawaii,1998,21,31674.7,82.19
245,Hawaii,1999,4,15129.0,39.26
246,Hawaii,2000,9,5669.0,14.71
247,Hawaii,2001,133,2284.3,5.93
248,Hawaii,2002,118,6946.7,18.03
249,Hawaii,2003,222,24183.300000000003,62.75
250,Hawaii,2004,143,3812.5,9.89
251,Hawaii,2005,333,45479.1,118.01
252,Hawaii,2006,167,13397.5,34.76
253,Hawaii,2007,242,39554.6,102.64
254,Hawaii,2008,117,6039.500000000001,15.67
255,Hawaii,2009,131,11733.900000000001,30.45
256,Hawaii,2010,184,15126.499999999998,39.25
257,Hawaii,2011,90,4880.400000000001,12.66
258,Hawaii,2012,128,4934.5,12.8
259,Hawaii,2013,10,755.8,1.96
260,Hawaii,2015,4,4836.6,12.55
261,Idaho,1992,666,684423.9999999998,138.03
262,Idaho,1993,151,7909.2,1.6
263,Idaho,1994,932,728614.0999999999,146.94
264,Idaho,1995,398,268526.8999999999,54.15
265,Idaho,1996,731,896467.9000000001,180.79
266,Idaho,1997,372,42785.19999999998,8.63
267,Idaho,1998,464,151096.80000000002,30.47
268,Idaho,1999,637,415986.80000000005,83.89
269,Idaho,2000,690,1350613.0,272.38
270,Idaho,2001,591,192623.30000000005,38.85
271,Idaho,2002,374,86022.20000000001,17.35
272,Idaho,2003,569,335924.0,67.75
273,Idaho,2004,234,18888.399999999998,3.81
274,Idaho,2005,534,648808.9000000001,130.85
275,Idaho,2006,687,910576.3,183.64
276,Idaho,2007,739,2184506.9000000004,440.55
277,Idaho,2008,324,175084.6000000001,35.31
278,Idaho,2009,313,23774.599999999995,4.79
279,Idaho,2010,416,643749.2999999999,129.83
280,Idaho,2011,491,409213.4000000001,82.53
281,Idaho,2012,612,1775004.6000000006,357.97
282,Idaho,2013,558,740165.4999999995,149.27
283,Idaho,2014,389,198756.59999999995,40.08
284,Idaho,2015,477,790896.6999999998,159.5
285,Illinois,1992,13,234.6,0.07
286,Illinois,1993,3,29.6,0.01
287,Illinois,1994,23,382.40000000000003,0.11
288,Illinois,1995,37,991.0,0.3
289,Illinois,1996,17,149.0,0.04
290,Illinois,1997,5,13.2,0.0
291,Illinois,1998,17,164.1,0.05
292,Illinois,1999,30,493.8,0.15
293,Illinois,2000,25,596.5,0.18
294,Illinois,2001,29,528.4,0.16
295,Illinois,2002,23,96.9,0.03
296,Illinois,2003,30,1592.1,0.48
297,Illinois,2004,59,867.4000000000001,0.26
298,Illinois,2005,27,971.9,0.29
299,Illinois,2006,17,270.79999999999995,0.08
300,Illinois,2007,75,824.6,0.25
301,Illinois,2008,117,925.6999999999999,0.28
302,Illinois,2009,205,3231.8999999999996,0.97
303,Illinois,2010,253,2570.5,0.77
304,Illinois,2011,85,2212.6,0.66
305,Illinois,2012,103,1341.9,0.4
306,Illinois,2013,26,144.1,0.04
307,Illinois,2014,171,2404.7000000000003,0.72
308,Illinois,2015,83,1585.3999999999999,0.48
309,Indiana,1992,32,237.1,0.11
310,Indiana,1993,13,458.3,0.21
311,Indiana,1994,26,569.7,0.27
312,Indiana,1995,40,872.2999999999998,0.41
313,Indiana,1996,26,486.4000000000001,0.23
314,Indiana,1997,7,79.39999999999999,0.04
315,Indiana,1998,22,169.5,0.08
316,Indiana,1999,63,750.3999999999999,0.35
317,Indiana,2000,57,700.0,0.33
318,Indiana,2001,92,1157.1,0.54
319,Indiana,2002,63,753.3,0.35
320,Indiana,2003,86,1411.5,0.66
321,Indiana,2004,92,764.5,0.36
322,Indiana,2005,73,559.5,0.26
323,Indiana,2006,35,979.5,0.46
324,Indiana,2007,64,2096.2,0.98
325,Indiana,2008,30,135.4,0.06
326,Indiana,2009,23,104.8,0.05
327,Indiana,2010,35,1564.2,0.73
328,Indiana,2011,15,697.6,0.32
329,Indiana,2012,37,1038.4,0.48
330,Indiana,2013,9,739.1,0.34
331,Indiana,2014,25,129.89999999999998,0.06
332,Indiana,2015,11,672.4000000000001,0.31
333,Iowa,1992,4,84.8,0.03
334,Iowa,1993,3,30.0,0.01
335,Iowa,1994,4,104.9,0.03
336,Iowa,1995,6,57.4,0.02
337,Iowa,1996,26,1025.6,0.31
338,Iowa,1997,7,91.5,0.03
339,Iowa,1998,3,70.0,0.02
340,Iowa,1999,17,434.9,0.13
341,Iowa,2000,17,1734.0,0.52
342,Iowa,2001,6,84.0,0.03
343,Iowa,2002,26,263.0,0.08
344,Iowa,2003,37,3330.0,0.99
345,Iowa,2004,40,1108.6,0.33
346,Iowa,2005,23,6498.0,1.94
347,Iowa,2006,360,5347.7,1.6
348,Iowa,2007,101,830.1999999999999,0.25
349,Iowa,2008,118,1679.8,0.5
350,Iowa,2009,616,7914.200000000001,2.36
351,Iowa,2010,160,2393.3999999999996,0.71
352,Iowa,2011,362,7443.1,2.22
353,Iowa,2012,344,3947.7,1.18
354,Iowa,2013,183,2398.7,0.72
355,Iowa,2014,427,10480.4,3.13
356,Iowa,2015,430,13884.1,4.14
357,Kansas,1992,12,250.7,0.05
358,Kansas,1993,12,1809.0,0.37
359,Kansas,1994,37,84457.3,17.22
360,Kansas,1995,17,4534.5,0.92
361,Kansas,1996,25,147569.1,30.08
362,Kansas,1997,14,11408.6,2.33
363,Kansas,1998,25,5206.0,1.06
364,Kansas,1999,29,6530.099999999999,1.33
